"","DT","Temp"
"157",2022-01-07,6.64722222222222
"158",2022-01-08,6.56134259259258
"159",2022-01-09,6.39606481481483
"160",2022-01-10,6.22280092592595
"161",2022-01-11,5.89432870370372
"162",2022-01-12,5.61261574074075
"163",2022-01-13,5.55243055555556
"164",2022-01-14,5.67546296296297
"165",2022-01-15,5.32233796296297
"166",2022-01-16,4.96747685185183
"167",2022-01-17,4.89456018518519
"168",2022-01-18,4.88657407407405
"169",2022-01-19,4.48541666666667
"170",2022-01-20,4.59074074074072
"171",2022-01-21,4.18738425925925
"172",2022-01-22,3.8971064814815
"173",2022-01-23,3.84166666666667
"174",2022-01-24,3.85648148148147
"175",2022-01-25,3.95578703703703
"176",2022-01-26,3.96678240740742
"177",2022-01-27,3.74224537037036
"178",2022-01-28,3.53449074074075
