"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Price","Product.Type","NPV.Output","IRR.Output"
"129",225000,"Y3","Fall","Ear Hanging",15.5,"Adductor",-892398.703693178,NA
"130",250000,"Y3","Fall","Ear Hanging",15.5,"Adductor",-880952.31019913,NA
"131",275000,"Y3","Fall","Ear Hanging",15.5,"Adductor",-886147.243220977,NA
"132",3e+05,"Y3","Fall","Ear Hanging",15.5,"Adductor",-874700.859726929,NA
"133",50000,"Y3","Fall","Ear Hanging",16,"Adductor",-900368.53740138,NA
"134",75000,"Y3","Fall","Ear Hanging",16,"Adductor",-895565.239026911,NA
"135",1e+05,"Y3","Fall","Ear Hanging",16,"Adductor",-890723.814548902,NA
"136",125000,"Y3","Fall","Ear Hanging",16,"Adductor",-890409.42671861,NA
"137",150000,"Y3","Fall","Ear Hanging",16,"Adductor",-881157.426763262,NA
"138",175000,"Y3","Fall","Ear Hanging",16,"Adductor",-881904.12259375,NA
"139",2e+05,"Y3","Fall","Ear Hanging",16,"Adductor",-868249.692139937,NA
"140",225000,"Y3","Fall","Ear Hanging",16,"Adductor",-877114.833009657,NA
"141",250000,"Y3","Fall","Ear Hanging",16,"Adductor",-863970.231661884,NA
"142",275000,"Y3","Fall","Ear Hanging",16,"Adductor",-867466.855432356,NA
"143",3e+05,"Y3","Fall","Ear Hanging",16,"Adductor",-854322.264084583,NA
"144",50000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-896972.121693931,NA
"145",75000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-890470.615465737,NA
"146",1e+05,"Y3","Fall","Ear Hanging",16.5,"Adductor",-883930.983134003,NA
"147",125000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-881918.387449987,NA
"148",150000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-870968.179640914,NA
"149",175000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-870016.667617678,NA
"150",2e+05,"Y3","Fall","Ear Hanging",16.5,"Adductor",-854664.029310141,NA
"151",225000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-861830.962326135,NA
"152",250000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-846988.153124638,NA
"153",275000,"Y3","Fall","Ear Hanging",16.5,"Adductor",-848786.467643735,NA
"154",3e+05,"Y3","Fall","Ear Hanging",16.5,"Adductor",-833943.668442238,NA
"155",50000,"Y3","Fall","Ear Hanging",17,"Adductor",-893575.705986481,NA
"156",75000,"Y3","Fall","Ear Hanging",17,"Adductor",-885375.991904564,NA
"157",1e+05,"Y3","Fall","Ear Hanging",17,"Adductor",-877138.151719105,NA
"158",125000,"Y3","Fall","Ear Hanging",17,"Adductor",-873427.348181364,NA
"159",150000,"Y3","Fall","Ear Hanging",17,"Adductor",-860778.932518567,NA
"160",175000,"Y3","Fall","Ear Hanging",17,"Adductor",-858129.212641606,NA
"161",2e+05,"Y3","Fall","Ear Hanging",17,"Adductor",-841078.366480344,NA
"162",225000,"Y3","Fall","Ear Hanging",17,"Adductor",-846547.091642614,NA
"163",250000,"Y3","Fall","Ear Hanging",17,"Adductor",-830006.074587392,NA
"164",275000,"Y3","Fall","Ear Hanging",17,"Adductor",-830106.079855114,NA
"165",3e+05,"Y3","Fall","Ear Hanging",17,"Adductor",-813565.072799892,NA
"166",50000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-890179.290279032,NA
"167",75000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-880281.36834339,NA
"168",1e+05,"Y3","Fall","Ear Hanging",17.5,"Adductor",-870345.320304207,NA
"169",125000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-864936.308912741,NA
"170",150000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-850589.685396219,NA
"171",175000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-846241.757665534,NA
"172",2e+05,"Y3","Fall","Ear Hanging",17.5,"Adductor",-827492.703650547,NA
"173",225000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-831263.220959093,NA
"174",250000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-813023.996050147,NA
"175",275000,"Y3","Fall","Ear Hanging",17.5,"Adductor",-811425.692066493,NA
"176",3e+05,"Y3","Fall","Ear Hanging",17.5,"Adductor",-793186.477157547,NA
"177",50000,"Y3","Fall","Ear Hanging",18,"Adductor",-886782.874571583,NA
"178",75000,"Y3","Fall","Ear Hanging",18,"Adductor",-875186.744782216,NA
"179",1e+05,"Y3","Fall","Ear Hanging",18,"Adductor",-863552.488889308,NA
"180",125000,"Y3","Fall","Ear Hanging",18,"Adductor",-856445.269644119,NA
"181",150000,"Y3","Fall","Ear Hanging",18,"Adductor",-840400.438273872,NA
"182",175000,"Y3","Fall","Ear Hanging",18,"Adductor",-834354.302689462,NA
"183",2e+05,"Y3","Fall","Ear Hanging",18,"Adductor",-813907.040820751,NA
"184",225000,"Y3","Fall","Ear Hanging",18,"Adductor",-815979.350275572,NA
"185",250000,"Y3","Fall","Ear Hanging",18,"Adductor",-796041.917512901,NA
"186",275000,"Y3","Fall","Ear Hanging",18,"Adductor",-792745.304277872,NA
"187",3e+05,"Y3","Fall","Ear Hanging",18,"Adductor",-772807.881515201,NA
"188",50000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-883386.458864134,NA
"189",75000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-870092.121221042,NA
"190",1e+05,"Y3","Fall","Ear Hanging",18.5,"Adductor",-856759.65747441,NA
"191",125000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-847954.230375496,NA
"192",150000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-830211.191151524,NA
"193",175000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-822466.84771339,NA
"194",2e+05,"Y3","Fall","Ear Hanging",18.5,"Adductor",-800321.377990954,NA
"195",225000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-800695.479592051,NA
"196",250000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-779059.838975655,NA
"197",275000,"Y3","Fall","Ear Hanging",18.5,"Adductor",-774064.916489251,NA
"198",3e+05,"Y3","Fall","Ear Hanging",18.5,"Adductor",-752429.285872856,NA
"199",50000,"Y3","Fall","Ear Hanging",19,"Adductor",-879990.043156685,NA
"200",75000,"Y3","Fall","Ear Hanging",19,"Adductor",-864997.497659869,NA
"201",1e+05,"Y3","Fall","Ear Hanging",19,"Adductor",-849966.826059512,NA
"202",125000,"Y3","Fall","Ear Hanging",19,"Adductor",-839463.191106873,NA
"203",150000,"Y3","Fall","Ear Hanging",19,"Adductor",-820021.944029177,NA
"204",175000,"Y3","Fall","Ear Hanging",19,"Adductor",-810579.392737318,NA
"205",2e+05,"Y3","Fall","Ear Hanging",19,"Adductor",-786735.715161158,NA
"206",225000,"Y3","Fall","Ear Hanging",19,"Adductor",-785411.60890853,NA
"207",250000,"Y3","Fall","Ear Hanging",19,"Adductor",-762077.76043841,NA
"208",275000,"Y3","Fall","Ear Hanging",19,"Adductor",-755384.52870063,NA
"209",3e+05,"Y3","Fall","Ear Hanging",19,"Adductor",-732050.69023051,NA
"210",50000,"Y3","Fall","Ear Hanging",19.5,"Adductor",-876593.627449236,NA
